                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8917,                 1.9561,                 1.6152,                0.61421,                0.45651,                0.51467,                0.26658,                 1.8192,                 1.8654,                 1.6568,             0.00087636,             0.00087636,             0.00087636
                     35,                 1.8475,                 1.9418,                 1.5977,                0.58326,                0.34682,                0.42126,                0.18909,                 1.9412,                 1.9943,                 1.6839,             0.00086902,             0.00086902,             0.00086902
                     36,                  1.926,                 2.0621,                 1.6558,                  0.544,                0.50313,                 0.5145,                0.25405,                 1.7958,                 1.8057,                  1.649,             0.00086169,             0.00086169,             0.00086169
                     37,                 1.8193,                 1.8729,                 1.5918,                0.60341,                0.51145,                0.56228,                0.29031,                 1.7678,                 1.7012,                 1.6168,             0.00085436,             0.00085436,             0.00085436
                     38,                 1.8575,                 1.9072,                 1.6018,                0.63734,                0.48714,                0.52786,                0.26945,                 1.7586,                 1.7541,                 1.5816,             0.00084703,             0.00084703,             0.00084703
                     39,                 1.8113,                  1.836,                 1.5755,                0.57989,                0.48075,                0.52519,                0.26789,                 1.7708,                 1.7955,                 1.5932,             0.00083969,             0.00083969,             0.00083969
                     40,                 1.7765,                  1.805,                 1.5389,                0.68055,                0.52518,                0.61731,                0.32801,                 1.7184,                 1.6554,                 1.5582,             0.00083236,             0.00083236,             0.00083236
                     41,                 1.7945,                 1.8619,                 1.5839,                 0.7271,                0.58246,                0.66125,                0.35838,                   1.69,                  1.523,                 1.5374,             0.00082503,             0.00082503,             0.00082503
                     42,                 1.7807,                 1.8045,                 1.5841,                 0.6608,                0.56959,                0.64414,                0.33808,                  1.704,                 1.5857,                 1.5718,              0.0008177,              0.0008177,              0.0008177
                     43,                 1.7889,                 1.7854,                 1.5792,                 0.5771,                0.45143,                0.51932,                0.26639,                 1.7525,                   1.75,                 1.5568,             0.00081036,             0.00081036,             0.00081036
                     44,                 1.7687,                 1.8003,                 1.5567,                0.73002,                0.49832,                0.62081,                 0.3359,                 1.6718,                 1.5854,                 1.5574,             0.00080303,             0.00080303,             0.00080303
                     45,                 1.7684,                 1.6913,                 1.5396,                0.71151,                 0.6275,                0.68357,                0.37529,                 1.6387,                 1.4607,                 1.5186,              0.0007957,              0.0007957,              0.0007957
                     46,                  1.761,                 1.7057,                 1.5823,                0.73789,                0.55461,                0.65498,                 0.3642,                 1.6617,                 1.5705,                 1.5234,             0.00078837,             0.00078837,             0.00078837
