                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6199,                 1.8766,                  1.471,                0.66573,                0.34126,                 0.4345,                0.25346,                 1.5068,                 1.4703,                 1.4236,             0.00030115,             0.00030115,             0.00030115
                     36,                 1.5868,                 1.8124,                 1.4468,                0.64683,                0.38944,                0.44033,                0.25193,                 1.5267,                 1.4026,                 1.4155,             0.00029861,             0.00029861,             0.00029861
                     37,                 1.6381,                 1.8249,                 1.4856,                0.60213,                0.41032,                0.46026,                  0.269,                  1.469,                 1.3414,                 1.3905,             0.00029606,             0.00029606,             0.00029606
                     38,                 1.6113,                 1.7728,                 1.4461,                 0.5944,                0.39814,                0.42503,                0.24178,                 1.5444,                 1.5024,                 1.4402,             0.00029352,             0.00029352,             0.00029352
                     39,                 1.5814,                 1.7042,                 1.4145,                 0.6371,                0.42805,                0.49044,                0.29755,                 1.4214,                  1.268,                 1.3599,             0.00029098,             0.00029098,             0.00029098
                     40,                  1.535,                 1.6574,                 1.4083,                0.67342,                0.42997,                0.50573,                0.29753,                 1.4329,                 1.3334,                 1.3538,             0.00028844,             0.00028844,             0.00028844
                     41,                 1.5642,                 1.7026,                 1.4114,                0.50357,                0.44821,                0.51492,                0.30779,                 1.3845,                 1.2578,                 1.3355,              0.0002859,              0.0002859,              0.0002859
                     42,                 1.5358,                 1.7062,                 1.4057,                0.53755,                0.50354,                0.53321,                0.31139,                 1.4008,                 1.2622,                 1.3377,             0.00028336,             0.00028336,             0.00028336
                     43,                  1.561,                 1.6684,                  1.413,                0.66598,                0.47586,                0.54877,                0.33681,                 1.3756,                 1.2132,                 1.3306,             0.00028082,             0.00028082,             0.00028082
                     44,                 1.5548,                 1.6153,                 1.3988,                0.64157,                0.45298,                0.52574,                0.31844,                 1.3876,                 1.2825,                 1.3329,             0.00027828,             0.00027828,             0.00027828
