                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4042,                 5.2912,                 2.1688,                      0,                      0,                      0,                      0,                 2.2533,                 5.0304,                 2.1046,              0.0001252,              0.0001252,              0.0001252
                      2,                 2.2366,                 4.5404,                 1.9898,                0.66444,                0.03663,                0.01744,                0.00599,                  2.267,                 3.7947,                 1.9594,             0.00024852,             0.00024852,             0.00024852
                      3,                 2.2182,                 3.9095,                 1.9031,                0.79897,                 0.0449,                0.02725,                0.01027,                 2.2361,                 3.3804,                 1.8962,             0.00036675,             0.00036675,             0.00036675
                      4,                 2.1622,                 3.6426,                 1.8855,                0.60993,                0.07466,                0.05267,                0.01917,                 2.1911,                 3.4056,                 1.9407,             0.00036213,             0.00036213,             0.00036213
                      5,                  2.103,                  3.426,                 1.8702,                0.61033,                 0.0816,                0.06469,                 0.0273,                 2.1429,                 3.1935,                 1.9648,             0.00036213,             0.00036213,             0.00036213
                      6,                 2.0465,                 3.2859,                 1.8024,                0.74639,                0.09577,                0.07392,                0.03096,                 2.1186,                 2.9815,                 1.8907,             0.00035451,             0.00035451,             0.00035451
                      7,                 2.0404,                 3.2156,                 1.8105,                0.62507,                0.10307,                0.08886,                0.03854,                 2.1065,                 2.9355,                 1.9568,             0.00034689,             0.00034689,             0.00034689
                      8,                 1.9988,                 3.1297,                 1.7665,                0.63909,                0.11937,                0.11449,                0.05191,                 1.9798,                 2.6253,                 1.8206,             0.00033926,             0.00033926,             0.00033926
                      9,                  2.001,                 3.0533,                 1.7861,                0.63005,                 0.1266,                0.10861,                0.04803,                 1.9347,                 2.5593,                 1.7351,             0.00033164,             0.00033164,             0.00033164
                     10,                 1.9238,                 2.9566,                  1.743,                0.62421,                0.12945,                0.12609,                0.06016,                 1.9344,                 2.5678,                 1.7157,             0.00032402,             0.00032402,             0.00032402
                     11,                 1.9397,                 2.8193,                 1.6967,                0.68812,                0.10638,                 0.1395,                0.06857,                 1.8964,                 2.5187,                 1.7596,             0.00031639,             0.00031639,             0.00031639
                     12,                 1.9347,                 2.8377,                 1.7135,                0.51202,                0.17222,                 0.1513,                0.07694,                 1.8392,                 2.4144,                 1.7278,             0.00030877,             0.00030877,             0.00030877
                     13,                  1.903,                 2.7569,                 1.6907,                0.36781,                0.18778,                0.17361,                0.08439,                 1.8639,                 2.3725,                 1.7405,             0.00030115,             0.00030115,             0.00030115
                     14,                 1.8941,                 2.7364,                 1.6686,                0.51605,                0.17848,                0.16807,                0.08009,                 1.9732,                 2.4793,                 1.8676,             0.00029352,             0.00029352,             0.00029352
                     15,                 1.8687,                 2.6827,                 1.6686,                0.50962,                  0.193,                0.18495,                0.09348,                 1.8159,                   2.23,                 1.6662,              0.0002859,              0.0002859,              0.0002859
                     16,                 1.8517,                 2.5935,                 1.6357,                0.36355,                 0.2363,                0.22078,                  0.112,                 1.7813,                  2.079,                 1.6429,             0.00027828,             0.00027828,             0.00027828
                     17,                 1.7949,                 2.5079,                 1.6008,                0.54666,                0.22006,                0.22959,                0.10709,                 1.7851,                 2.0609,                 1.6032,             0.00027065,             0.00027065,             0.00027065
                     18,                 1.7844,                  2.431,                 1.5962,                0.55208,                0.24664,                 0.2576,                0.12942,                  1.721,                 1.9797,                 1.5742,             0.00026303,             0.00026303,             0.00026303
                     19,                 1.7551,                 2.3666,                 1.5838,                0.52409,                0.25523,                0.27372,                0.14478,                 1.6825,                 1.9391,                 1.5712,             0.00025541,             0.00025541,             0.00025541
                     20,                 1.8106,                 2.3709,                 1.6058,                0.54593,                 0.2471,                0.28742,                0.15571,                 1.6765,                 1.9264,                 1.5716,             0.00024779,             0.00024779,             0.00024779
