Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
Fortuner,Toyota,2800 cc,SUV,2021,"14,000 km",Diesel,Automatic,Punjab,PKR 1.7 crore
Fortuner,Toyota,2700 cc,SUV,2021,"30,000 km",Petrol,Automatic,Islamabad,PKR 1.5 crore
Fortuner,Toyota,2800 cc,SUV,2021,"55,234 km",Diesel,Automatic,Islamabad,PKR 1.56 crore
Fortuner,Toyota,2800 cc,SUV,2022,"11,000 km",Diesel,Automatic,Islamabad,PKR 1.88 crore
Fortuner,Toyota,2700 cc,SUV,2017,"126,000 km",Petrol,Automatic,Islamabad,PKR 1.09 crore
Fortuner,Toyota,2700 cc,SUV,2014,"88,000 km",Petrol,Automatic,Lahore,PKR 75.5 lacs
Fortuner,Toyota,2700 cc,SUV,2018,"105,000 km",Petrol,Automatic,Islamabad,PKR 1.2 crore
Fortuner,Toyota,2800 cc,SUV,2020,"52,000 km",Diesel,Automatic,Islamabad,PKR 1.44 crore
Fortuner,Toyota,2800 cc,SUV,2021,"42,000 km",Diesel,Automatic,Punjab,Call for price
Fortuner,Toyota,2800 cc,SUV,2023,"11,000 km",Diesel,Automatic,Un-Registered,PKR 1.82 crore
Fortuner,Toyota,2000 cc,SUV,2013,"64,462 km",Petrol,Automatic,Karachi,PKR 73 lacs
Fortuner,Toyota,2700 cc,SUV,2021,"9,850 km",Petrol,Automatic,Sindh,PKR 1.51 crore
Fortuner,Toyota,2700 cc,SUV,2017,"139,068 km",Petrol,Automatic,Lahore,PKR 1.2 crore
Fortuner,Toyota,2700 cc,SUV,2019,"63,000 km",Petrol,Automatic,Islamabad,PKR 1.25 crore
Fortuner,Toyota,2700 cc,SUV,2018,"58,000 km",Petrol,Automatic,Karachi,PKR 1.1 crore
Fortuner,Toyota,2800 cc,SUV,2018,"87,000 km",Diesel,Automatic,Karachi,Call for price
Fortuner,Toyota,2800 cc,SUV,2021,"26,000 km",Diesel,Automatic,Karachi,Call for price
Fortuner,Toyota,2800 cc,SUV,2021,"24,000 km",Diesel,Automatic,Karachi,Call for price
Fortuner,Toyota,2700 cc,SUV,2016,"85,000 km",Petrol,Automatic,Islamabad,PKR 82 lacs
Fortuner,Toyota,2700 cc,SUV,2017,"46,000 km",Petrol,Automatic,Sindh,PKR 1.03 crore
Fortuner,Toyota,2700 cc,SUV,2013,"153,500 km",Petrol,Automatic,Islamabad,PKR 68 lacs
Fortuner,Toyota,2800 cc,SUV,2021,"64,000 km",Diesel,Automatic,Islamabad,PKR 1.45 crore
Fortuner,Toyota,2700 cc,SUV,2017,"57,500 km",Petrol,Automatic,Lahore,PKR 1.2 crore
Fortuner,Toyota,2700 cc,SUV,2013,"135,000 km",Petrol,Automatic,Multan,PKR 75 lacs
Fortuner,Toyota,2700 cc,SUV,2021,"27,000 km",Petrol,Automatic,Islamabad,PKR 1.3 crore
Fortuner,Toyota,2800 cc,N/A,2022,"5,400 km",Diesel,Automatic,Punjab,PKR 1.92 crore
Fortuner,Toyota,2800 cc,SUV,2021,"27,000 km",Diesel,Automatic,Islamabad,PKR 1.62 crore
Fortuner,Toyota,2700 cc,SUV,2022,"37,000 km",Petrol,Automatic,Islamabad,PKR 1.59 crore
Fortuner,Toyota,2700 cc,SUV,2022,"12,000 km",Petrol,Automatic,Islamabad,PKR 1.49 crore
Fortuner,Toyota,2700 cc,SUV,2019,"28,600 km",Petrol,Automatic,Sindh,PKR 1.22 crore
Fortuner,Toyota,2800 cc,SUV,2022,"14,000 km",Diesel,Automatic,Karachi,PKR 1.78 crore
Fortuner,Toyota,2800 cc,SUV,2021,"46,000 km",Diesel,Automatic,Islamabad,PKR 1.56 crore
Fortuner,Toyota,2800 cc,SUV,2023,40 km,Diesel,Automatic,Un-Registered,Call for price
Fortuner,Toyota,2800 cc,SUV,2022,"22,000 km",Diesel,Automatic,Lahore,PKR 1.74 crore
Fortuner,Toyota,2700 cc,SUV,2013,"110,000 km",Petrol,Automatic,Sindh,PKR 70 lacs
Fortuner,Toyota,2700 cc,SUV,2021,"20,000 km",Petrol,Automatic,Karachi,PKR 1.3 crore
Fortuner,Toyota,2800 cc,SUV,2022,"14,680 km",Diesel,Automatic,Islamabad,PKR 1.82 crore
Fortuner,Toyota,2800 cc,SUV,2020,"22,000 km",Diesel,Automatic,Karachi,PKR 1.4 crore
Fortuner,Toyota,2800 cc,SUV,2023,25 km,Diesel,Automatic,Un-Registered,PKR 2.06 crore
Fortuner,Toyota,2800 cc,SUV,2021,"61,373 km",Diesel,Automatic,Lahore,PKR 1.52 crore
Fortuner,Toyota,2800 cc,SUV,2021,"7,938 km",Diesel,Automatic,Sindh,PKR 1.77 crore
Fortuner,Toyota,2800 cc,SUV,2021,"39,000 km",Diesel,Automatic,Punjab,PKR 1.6 crore
Fortuner,Toyota,2700 cc,SUV,2017,"55,000 km",Petrol,Automatic,Lahore,PKR 1.17 crore
Fortuner,Toyota,2800 cc,SUV,2022,"6,500 km",Diesel,Automatic,Islamabad,PKR 1.82 crore
Fortuner,Toyota,2700 cc,SUV,2019,"37,063 km",Petrol,Automatic,Punjab,PKR 1.62 crore
Fortuner,Toyota,2700 cc,SUV,2017,"22,173 km",Petrol,Automatic,Multan,PKR 1.35 crore
Fortuner,Toyota,2700 cc,SUV,2013,"85,304 km",Petrol,Automatic,Lahore,PKR 69 lacs
Fortuner,Toyota,2700 cc,SUV,2013,"110,000 km",Petrol,Automatic,Sindh,PKR 70 lacs
Fortuner,Toyota,2700 cc,SUV,2016,"85,000 km",Petrol,Automatic,Islamabad,PKR 82 lacs
Fortuner,Toyota,2800 cc,SUV,2021,"12,500 km",Diesel,Automatic,Islamabad,PKR 1.6 crore
Fortuner,Toyota,2700 cc,SUV,2022,"9,500 km",Petrol,Automatic,Punjab,PKR 1.41 crore
Fortuner,Toyota,2700 cc,SUV,2017,"46,000 km",Petrol,Automatic,Sindh,PKR 1.03 crore
Fortuner,Toyota,2700 cc,SUV,2014,"97,000 km",Petrol,Automatic,Sindh,PKR 65.5 lacs
Fortuner,Toyota,2700 cc,SUV,2022,910 km,Petrol,Automatic,Un-Registered,PKR 1.42 crore
Fortuner,Toyota,2700 cc,SUV,2020,"62,000 km",Petrol,Automatic,Islamabad,PKR 1.35 crore
Fortuner,Toyota,2700 cc,SUV,2015,"93,000 km",Petrol,Automatic,Sindh,PKR 82 lacs
Fortuner,Toyota,2800 cc,SUV,2022,"24,000 km",Diesel,Automatic,Punjab,PKR 1.7 crore
Fortuner,Toyota,2700 cc,SUV,2015,"40,000 km",Petrol,Automatic,Islamabad,PKR 92 lacs
Fortuner,Toyota,2700 cc,SUV,2020,"42,000 km",Petrol,Automatic,Sindh,PKR 1.28 crore
Fortuner,Toyota,2700 cc,SUV,2017,"6,100 km",Petrol,Automatic,Sindh,PKR 1.18 crore
Fortuner,Toyota,2700 cc,SUV,2014,"65,000 km",Petrol,Automatic,Karachi,PKR 75.5 lacs
