,Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
6657,Prius,Toyota,1800,Sedan,2020,136000,Hybrid,Automatic,Un-Registered,90.0
6658,Prius,Toyota,1800,Sedan,2011,115000,Hybrid,Automatic,Islamabad,50.8
6659,Prius,Toyota,1800,Sedan,2014,100000,Hybrid,Automatic,Lahore,36.5
6660,Prius,Toyota,1800,Sedan,2018,160000,Hybrid,Automatic,Punjab,82.0
6661,Prius,Toyota,1800,Sedan,2012,100000,Hybrid,Automatic,Karachi,43.0
6662,Prius,Toyota,1500,Sedan,2007,170000,Petrol,Automatic,Lahore,27.5
6663,Prius,Toyota,1800,Sedan,2014,150000,Petrol,Automatic,Islamabad,49.95
6664,Prius,Toyota,1800,Sedan,2010,145000,Petrol,Automatic,Sindh,40.0
6665,Prius,Toyota,1800,Sedan,2020,62809,Hybrid,Automatic,Un-Registered,107.0
6666,Prius,Toyota,1500,Sedan,2011,172000,Hybrid,Automatic,Sindh,33.7
6667,Prius,Toyota,1800,Sedan,2011,132914,Petrol,Automatic,Karachi,42.5
6668,Prius,Toyota,1800,Sedan,2013,118000,Petrol,Automatic,Islamabad,47.9
6669,Prius,Toyota,1800,Sedan,2018,100000,Hybrid,Automatic,Lahore,85.0
6670,Prius,Toyota,1800,Sedan,2011,112000,Petrol,Automatic,Islamabad,40.95
6671,Prius,Toyota,1800,Sedan,2018,150000,Hybrid,Automatic,Punjab,74.9
6672,Prius,Toyota,1800,Sedan,2011,110000,Hybrid,Automatic,Lahore,37.5
6673,Prius,Toyota,1800,Sedan,2014,141000,Hybrid,Automatic,Islamabad,50.0
6674,Prius,Toyota,1800,Sedan,2010,215000,Hybrid,Automatic,Lahore,34.0
6675,Prius,Toyota,1500,Sedan,2011,119500,Petrol,Automatic,Lahore,28.75
6676,Prius,Toyota,1800,Sedan,2012,174000,Hybrid,Automatic,Islamabad,44.0
6677,Prius,Toyota,1800,Sedan,2018,94505,Hybrid,Automatic,Un-Registered,82.0
6678,Prius,Toyota,1800,Sedan,2014,186000,Petrol,Automatic,Sindh,46.2
6679,Prius,Toyota,1800,Sedan,2010,85000,Petrol,Automatic,Lahore,43.0
6680,Prius,Toyota,1800,Sedan,2011,78000,Petrol,Automatic,Sindh,37.0
6681,Prius,Toyota,1800,Sedan,2020,149000,Hybrid,Automatic,Un-Registered,105.0
6682,Prius,Toyota,1800,Sedan,2020,17000,Hybrid,Automatic,Un-Registered,91.0
6683,Prius,Toyota,1800,Sedan,2009,90000,Hybrid,Automatic,Islamabad,42.0
6684,Prius,Toyota,1800,Sedan,2020,23502,Hybrid,Automatic,Un-Registered,92.0
6685,Prius,Toyota,1800,Sedan,2014,168194,Petrol,Automatic,Islamabad,60.5
6686,Prius,Toyota,1800,Sedan,2010,193023,Petrol,Automatic,Punjab,40.0
6687,Prius,Toyota,1500,Sedan,2005,113305,Petrol,Automatic,Islamabad,32.0
6688,Prius,Toyota,1800,Sedan,2012,102759,Petrol,Automatic,Lahore,40.0
6689,Prius,Toyota,1800,Sedan,2009,207370,Petrol,Automatic,Lahore,42.0
6690,Prius,Toyota,1800,Sedan,2020,27944,Hybrid,Automatic,Un-Registered,92.0
6691,Prius,Toyota,1800,Sedan,2016,153702,Hybrid,Automatic,Lahore,72.0
6692,Prius,Toyota,1800,Sedan,2023,8800,Hybrid,Automatic,Un-Registered,165.0
6693,Prius,Toyota,1800,Sedan,2013,133384,Petrol,Automatic,Karachi,46.9
6694,Prius,Toyota,1500,Sedan,2010,138035,Petrol,Automatic,Sindh,32.0
6695,Prius,Toyota,1800,MPV,2012,132983,Petrol,Automatic,Sindh,43.0
6696,Prius,Toyota,1500,Sedan,2010,115357,Petrol,Automatic,Karachi,32.0
6697,Prius,Toyota,1800,Sedan,2013,121607,Petrol,Automatic,Islamabad,48.5
6698,Prius,Toyota,1800,Sedan,2014,122156,Hybrid,Automatic,Islamabad,46.9
6699,Prius,Toyota,1800,Sedan,2013,321954,Petrol,Automatic,Islamabad,46.5
6700,Prius,Toyota,1800,Sedan,2020,85000,Petrol,Automatic,Un-Registered,95.0
6701,Prius,Toyota,1800,Sedan,2012,96782,Petrol,Automatic,Punjab,46.5
6702,Prius,Toyota,1800,Sedan,2010,240000,Petrol,Automatic,Islamabad,40.0
6703,Prius,Toyota,1800,Sedan,2010,108500,Hybrid,Automatic,Lahore,39.5
6704,Prius,Toyota,1800,MPV,2014,148000,Petrol,Automatic,Islamabad,75.0
6705,Prius,Toyota,1800,Sedan,2014,128000,Hybrid,Automatic,Karachi,43.5
6706,Prius,Toyota,1800,Sedan,2013,99500,Hybrid,Automatic,Karachi,40.0
6707,Prius,Toyota,1800,Sedan,2020,51000,Hybrid,Automatic,Un-Registered,88.5
6708,Prius,Toyota,1800,Sedan,2023,5000,Hybrid,Automatic,Un-Registered,175.0
6709,Prius,Toyota,1800,Sedan,2020,138755,Hybrid,Automatic,Un-Registered,106.0
6710,Prius,Toyota,1800,Sedan,2020,89000,Hybrid,Automatic,Un-Registered,93.0
6711,Prius,Toyota,1800,Sedan,2020,87000,Hybrid,Automatic,Un-Registered,92.0
6712,Prius,Toyota,1800,Sedan,2020,1500,Hybrid,Automatic,Un-Registered,105.0
6713,Prius,Toyota,1800,MPV,2014,88000,Petrol,Automatic,Lahore,58.0
6714,Prius,Toyota,1800,Sedan,2020,80000,Hybrid,Automatic,Un-Registered,100.0
6715,Prius,Toyota,1800,Sedan,2013,155000,Hybrid,Automatic,Islamabad,51.0
6716,Prius,Toyota,1800,Sedan,2012,150000,Hybrid,Automatic,Karachi,45.5
6717,Prius,Toyota,1800,MPV,2018,89000,Petrol,Automatic,Islamabad,80.5
6718,Prius,Toyota,660,Sedan,2013,104000,Petrol,Automatic,Sindh,31.0
6719,Prius,Toyota,1800,Sedan,2015,123646,Petrol,Automatic,Islamabad,50.0
6720,Prius,Toyota,1800,Sedan,2015,100000,Hybrid,Automatic,Sindh,64.0
6721,Prius,Toyota,1800,Sedan,2009,86000,Hybrid,Automatic,Punjab,43.6
6722,Prius,Toyota,1800,Sedan,2020,24141,Hybrid,Automatic,Un-Registered,92.0
6723,Prius,Toyota,1800,Sedan,2012,94700,Hybrid,Automatic,Lahore,43.5
6724,Prius,Toyota,1800,Sedan,2019,38000,Hybrid,Automatic,Karachi,93.0
6725,Prius,Toyota,1800,Sedan,2020,25500,Hybrid,Automatic,Un-Registered,132.0
6726,Prius,Toyota,1800,Sedan,2019,27600,Hybrid,Automatic,Un-Registered,97.0
6727,Prius,Toyota,1800,Sedan,2020,98000,Hybrid,Automatic,Un-Registered,93.5
6728,Prius,Toyota,1800,Sedan,2020,65000,Hybrid,Automatic,Un-Registered,97.0
6729,Prius,Toyota,1800,Sedan,2011,113000,Petrol,Automatic,Islamabad,44.0
6730,Prius,Toyota,1800,Sedan,2011,200000,Petrol,Automatic,Islamabad,38.75
6731,Prius,Toyota,1800,Sedan,2011,260000,Hybrid,Automatic,Islamabad,43.0
6732,Prius,Toyota,1800,Sedan,2013,123000,Petrol,Automatic,Islamabad,43.5
6733,Prius,Toyota,1800,Sedan,2010,104000,Petrol,Automatic,Karachi,41.0
6734,Prius,Toyota,1800,Sedan,2011,115000,Petrol,Automatic,Islamabad,42.0
6735,Prius,Toyota,1800,Sedan,2014,78657,Petrol,Automatic,Karachi,48.0
6736,Prius,Toyota,1800,Sedan,2011,200000,Hybrid,Automatic,Islamabad,40.0
6737,Prius,Toyota,1800,Sedan,2011,185000,Hybrid,Automatic,Sindh,38.0
6738,Prius,Toyota,1800,Sedan,2014,110952,Petrol,Automatic,Lahore,54.5
6739,Prius,Toyota,1800,MPV,2011,150000,Petrol,Automatic,Sindh,38.0
6740,Prius,Toyota,1800,Sedan,2011,215000,Petrol,Automatic,Islamabad,43.0
6741,Prius,Toyota,1800,Sedan,2020,74000,Hybrid,Automatic,Un-Registered,91.0
6742,Prius,Toyota,1800,Sedan,2020,62000,Petrol,Automatic,Punjab,114.99999999999999
6743,Prius,Toyota,1800,Sedan,2011,243976,Petrol,Automatic,Sindh,37.0
6744,Prius,Toyota,1800,Sedan,2013,106000,Hybrid,Automatic,Islamabad,52.0
6745,Prius,Toyota,1800,Sedan,2020,99000,Hybrid,Automatic,Un-Registered,87.5
6746,Prius,Toyota,1800,Sedan,2023,3000,Hybrid,Automatic,Un-Registered,175.0
6747,Prius,Toyota,1800,Sedan,2023,100,Hybrid,Automatic,Un-Registered,179.0
6748,Prius,Toyota,1500,Sedan,2009,140000,Hybrid,Automatic,Lahore,30.0
6749,Prius,Toyota,1800,Sedan,2017,112000,Petrol,Automatic,Lahore,73.25
6750,Prius,Toyota,1800,Sedan,2014,110000,Hybrid,Automatic,Islamabad,50.0
6751,Prius,Toyota,1800,Sedan,2018,142000,Hybrid,Automatic,Islamabad,74.8
6752,Prius,Toyota,1800,Sedan,2020,14000,Hybrid,Automatic,Un-Registered,125.0
6753,Prius,Toyota,1800,Sedan,2020,9500,Petrol,Automatic,Un-Registered,98.0
6754,Prius,Toyota,1800,Sedan,2014,95000,Petrol,Automatic,Islamabad,52.0
6755,Prius,Toyota,1800,Sedan,2011,104000,Petrol,Automatic,Islamabad,40.0
6756,Prius,Toyota,1800,Sedan,2017,110000,Hybrid,Automatic,Islamabad,105.0
6757,Corolla,Toyota,1500,Sedan,2013,79502,Petrol,Automatic,Islamabad,46.5
6758,Prius,Toyota,1800,Sedan,2012,150000,Hybrid,Automatic,Islamabad,42.5
6759,Prius,Toyota,1800,Sedan,2010,75000,Hybrid,Automatic,Lahore,36.0
6760,Prius,Toyota,1800,Sedan,2012,87636,Hybrid,Automatic,Karachi,46.5
6761,Prius,Toyota,1800,Sedan,2014,200000,Hybrid,Automatic,Islamabad,45.25
6762,Prius,Toyota,1500,Sedan,2010,143000,Hybrid,Automatic,Punjab,29.3
6763,Prius,Toyota,1800,Sedan,2011,99000,Petrol,Automatic,Islamabad,39.45
6764,Prius,Toyota,1800,Sedan,2010,160000,Hybrid,Automatic,Lahore,44.5
6765,Prius,Toyota,1800,Sedan,2012,177498,Hybrid,Automatic,Lahore,46.5
6766,Prius,Toyota,1800,Sedan,2013,216137,Petrol,Automatic,Islamabad,48.0
6767,Prius,Toyota,1500,Sedan,2006,165000,Petrol,Automatic,Islamabad,28.5
6768,Prius,Toyota,1500,Sedan,2014,112000,Hybrid,Automatic,Karachi,29.0
6769,Prius,Toyota,1800,Sedan,2011,100000,Petrol,Automatic,Punjab,36.5
6770,Prius,Toyota,1800,Sedan,2010,125000,Hybrid,Automatic,Islamabad,41.0
6771,Prius,Toyota,1800,Sedan,2011,78000,Petrol,Automatic,Sindh,37.0
6772,Prius,Toyota,1800,Sedan,2010,138000,Petrol,Automatic,Karachi,36.75
6773,Prius,Toyota,1800,Sedan,2012,40000,Hybrid,Automatic,Islamabad,42.0
6774,Prius,Toyota,1800,Sedan,2020,149000,Hybrid,Automatic,Un-Registered,105.0
6775,Prius,Toyota,1800,Sedan,2010,190000,Hybrid,Automatic,Punjab,45.0
6776,Prius,Toyota,1800,Sedan,2011,180000,Hybrid,Automatic,Lahore,41.0
6777,Prius,Toyota,1500,Sedan,2007,245424,Hybrid,Automatic,Punjab,30.0
6778,Prius,Toyota,1800,MPV,2011,117000,Petrol,Automatic,Karachi,38.0
6779,Prius,Toyota,1800,Sedan,2011,68000,Hybrid,Automatic,Islamabad,47.5
6780,Prius,Toyota,1800,Sedan,2014,85000,Hybrid,Automatic,Sindh,44.5
6781,Prius,Toyota,1500,Sedan,2007,212000,Petrol,Automatic,Karachi,26.0
6782,Prius,Toyota,1800,Sedan,2011,175000,Hybrid,Automatic,Lahore,43.3
6783,Vezel,Honda,1500,Crossover,2018,41000,Hybrid,Automatic,Islamabad,79.5
