,Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
163,Swift,Suzuki,1200 cc,Hatchback,2023,"1,900 km",Petrol,Automatic,Islamabad,PKR 47.5 lacs
164,Vitz,Toyota,1000 cc,Hatchback,2006,"260,627 km",Petrol,Automatic,Islamabad,PKR 20.3 lacs
165,Swift,Suzuki,100 cc,N/A,2017,"36,800 km",Petrol,Automatic,Islamabad,PKR 30.5 lacs
166,Swift,Suzuki,1300 cc,Hatchback,2013,"90,000 km",Petrol,Manual,Islamabad,PKR 20.7 lacs
167,Swift,Suzuki,1242 cc,Hatchback,2022,"19,000 km",Petrol,Automatic,Karachi,PKR 43.75 lacs
168,Swift,Suzuki,1300 cc,Hatchback,2018,"84,000 km",Petrol,Manual,Islamabad,PKR 24.5 lacs
169,Swift,Suzuki,1300 cc,Hatchback,2017,"110,000 km",Petrol,Manual,Lahore,PKR 24.84 lacs
170,Swift,Suzuki,1300 cc,Hatchback,2011,"140,000 km",Petrol,Manual,Islamabad,PKR 18.2 lacs
171,Swift,Suzuki,1300 cc,Hatchback,2018,"62,755 km",Petrol,Automatic,Islamabad,PKR 29 lacs
172,Swift,Suzuki,1300 cc,Hatchback,2012,"153,000 km",Petrol,Manual,Islamabad,PKR 19.25 lacs
173,Swift,Suzuki,1300 cc,Hatchback,2012,"175,000 km",Petrol,Manual,Karachi,PKR 16 lacs
174,Swift,Suzuki,1300 cc,Hatchback,2021,"15,426 km",Petrol,Automatic,Lahore,PKR 40 lacs
175,Swift,Suzuki,1240 cc,Hatchback,2022,"17,000 km",Petrol,Automatic,Punjab,PKR 41.5 lacs
176,Swift,Suzuki,1300 cc,Hatchback,2016,"88,000 km",Petrol,Manual,Islamabad,PKR 24 lacs
177,Swift,Suzuki,1300 cc,Hatchback,2018,"55,000 km",Petrol,Manual,Sindh,PKR 23.5 lacs
178,Swift,Suzuki,1242 cc,Hatchback,2022,"19,000 km",Petrol,Automatic,Karachi,PKR 44.85 lacs
179,Swift,Suzuki,1300 cc,Hatchback,2014,"114,000 km",Petrol,Manual,Punjab,PKR 18.55 lacs
180,Swift,Suzuki,1300 cc,Hatchback,2019,"53,824 km",Petrol,Automatic,Karachi,PKR 27 lacs
181,Swift,Suzuki,1300 cc,Hatchback,2016,"78,709 km",Petrol,Manual,Karachi,PKR 17.5 lacs
182,Swift,Suzuki,1200 cc,Hatchback,2022,"1,900 km",Petrol,Automatic,Sindh,PKR 46.25 lacs
183,Swift,Suzuki,1300 cc,Hatchback,2018,"61,000 km",Petrol,Manual,Islamabad,PKR 25.5 lacs
184,Swift,Suzuki,1240 cc,Hatchback,2022,"29,000 km",Petrol,Automatic,Punjab,PKR 41.85 lacs
185,Swift,Suzuki,1300 cc,Hatchback,2021,"70,000 km",Petrol,Manual,Islamabad,PKR 29 lacs
186,Swift,Suzuki,1300 cc,Hatchback,2018,"65,000 km",Petrol,Automatic,Karachi,PKR 23.9 lacs
187,Swift,Suzuki,1240 cc,Hatchback,2022,"7,000 km",Petrol,Automatic,Karachi,PKR 42 lacs
188,Swift,Suzuki,1300 cc,Hatchback,2016,"41,856 km",Petrol,Manual,Lahore,PKR 23.3 lacs
189,Swift,Suzuki,1300 cc,Hatchback,2018,"38,523 km",Petrol,Manual,Lahore,PKR 24.8 lacs
190,Swift,Suzuki,1300 cc,Hatchback,2020,"61,685 km",Petrol,Automatic,Sindh,PKR 29 lacs
191,Swift,Suzuki,1300 cc,Hatchback,2011,"118,162 km",Petrol,Manual,Lahore,PKR 17.5 lacs
192,Swift,Suzuki,1242 cc,Hatchback,2022,"3,500 km",Petrol,Automatic,Karachi,PKR 44.5 lacs
193,Swift,Suzuki,1200 cc,Hatchback,2022,"6,700 km",Petrol,Automatic,Punjab,PKR 47 lacs
194,Swift,Suzuki,1300 cc,Hatchback,2017,"80,855 km",Petrol,Automatic,Karachi,PKR 24.5 lacs
195,Swift,Suzuki,1300 cc,Hatchback,2017,"75,000 km",Petrol,Manual,Islamabad,PKR 23.5 lacs
196,Swift,Suzuki,1300 cc,Hatchback,2016,"84,000 km",Petrol,Manual,Lahore,PKR 21.9 lacs
197,Swift,Suzuki,1300 cc,Hatchback,2019,"69,259 km",Petrol,Manual,Sindh,PKR 24.4 lacs
198,Swift,Suzuki,1200 cc,N/A,2022,"14,000 km",Petrol,Automatic,Sindh,PKR 45 lacs
199,Swift,Suzuki,1200 cc,Hatchback,2024,10 km,Petrol,Automatic,Un-Registered,PKR 49.6 lacs
200,Swift,Suzuki,1300 cc,Hatchback,2018,"83,851 km",Petrol,Manual,Karachi,PKR 22 lacs
201,Swift,Suzuki,1242 cc,Hatchback,2022,"22,560 km",Petrol,Manual,Islamabad,PKR 40.5 lacs
202,Khyber,Suzuki,1000 cc,Hatchback,1992,"60,000 km",Petrol,Manual,Karachi,PKR 2.4 lacs
203,Swift,Suzuki,1300 cc,Hatchback,2012,"37,000 km",Petrol,Manual,Sindh,PKR 20.5 lacs
204,Swift,Suzuki,1242 cc,Hatchback,2022,"17,000 km",Petrol,Automatic,Karachi,PKR 44.5 lacs
